municipality,province,year,ACCENSIONE PRESTITI,ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",ENTRATE DA RIDUZIONE DI ATTIVITÀ FINANZIARIE,ENTRATE EXTRATRIBUTARIE,ENTRATE IN CONTO CAPITALE,ENTRATE PER CONTO TERZI E PARTITE DI GIRO,TOTALE ENTRATE,TRASFERIMENTI CORRENTI
PIETRAPAOLA,CS,2023,38357,1027371,4481409,0,2158466,6407087,1875495,16925606,937421
TORRICE,FR,2023,8865,3000000,4371551,0,992589,18648671,996511,28501909,483720
PIETRADEFUSI,AV,2023,0,600000,3230294,0,519078,9437720,6913495,21115872,415286
CACCAMO,PA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORTA DI ATELLA,CE,2023,158870,10000000,10547883,0,1689367,10398175,3175151,39298193,3328747
CHIARAMONTE GULFI,RG,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
VOLLA,NA,2023,1239681,3500000,40061914,0,4600781,8641381,29026047,89797709,2727905
ACI CATENA,CT,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOIO ALCANTARA,ME,2023,101212,300000,1390686,0,953289,6621555,2447821,13199565,1385002
MILO,CT,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
GELA,CL,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA
BASSIANO,LT,2023,0,649609,1718509,0,762436,16172338,935916,21295840,1057033
BARCELLONA POZZO DI GOTTO,ME,2023,5421326,30000000,27301185,0,13578758,21892664,72382450,199283288,28706904
GENAZZANO,RM,2023,412550,5278978,7248474,0,1304433,5655822,2527675,23395195,967261
SANT'ALFIO,CT,2023,622358,3178001,1987707,0,543071,9648274,4966717,22790580,1844453
CAMASTRA,AG,2023,25960,1401269,3994373,0,1282569,1863149,1368230,12360853,2425303
CAPIZZI,ME,2023,30905,2000000,3799941,0,3166890,42054369,6726147,59658798,1880547
